timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741313217716,282,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2823,text,false,,462,358,2591,2591,http://localhost:9090/transaction/getStockTransactions,282,0,0
1741313215617,2375,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2414,text,false,,462,357,2588,2588,http://localhost:9090/transaction/getStockTransactions,2375,0,0
1741313215876,2119,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1313,text,false,,462,358,2591,2591,http://localhost:9090/transaction/getStockTransactions,2119,0,0
1741313215713,2279,20 Get Stock Transactions Request,200,OK,User Thread Group 1-886,text,false,,462,354,2588,2588,http://localhost:9090/transaction/getStockTransactions,2279,0,0
1741313215234,2683,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1859,text,false,,462,357,2547,2547,http://localhost:9090/transaction/getStockTransactions,2683,0,0
1741313216831,919,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2401,text,false,,462,356,2536,2536,http://localhost:9090/transaction/getStockTransactions,919,0,0
1741313216513,1492,20 Get Stock Transactions Request,200,OK,User Thread Group 1-3161,text,false,,462,360,2591,2591,http://localhost:9090/transaction/getStockTransactions,1492,0,0
1741313215693,2056,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1862,text,false,,462,357,2536,2536,http://localhost:9090/transaction/getStockTransactions,2056,0,0
1741313216401,1521,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2768,text,false,,462,357,2548,2548,http://localhost:9090/transaction/getStockTransactions,1521,0,0
1741313217845,225,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2129,text,false,,462,358,2509,2509,http://localhost:9090/transaction/getStockTransactions,225,0,0
1741313215180,2569,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1840,text,false,,462,353,2536,2536,http://localhost:9090/transaction/getStockTransactions,2569,0,0
1741313215740,2257,20 Get Stock Transactions Request,200,OK,User Thread Group 1-3107,text,false,,462,356,2591,2591,http://localhost:9090/transaction/getStockTransactions,2257,0,0
1741313216651,1097,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2223,text,false,,462,358,2535,2535,http://localhost:9090/transaction/getStockTransactions,1097,0,0
1741313216631,1114,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1408,text,false,,462,356,2534,2534,http://localhost:9090/transaction/getStockTransactions,1114,0,0
1741313215642,2104,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2121,text,false,,462,362,2535,2535,http://localhost:9090/transaction/getStockTransactions,2104,0,0
1741313216581,1165,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1556,text,false,,462,356,2534,2534,http://localhost:9090/transaction/getStockTransactions,1165,0,0
1741313216073,1671,20 Get Stock Transactions Request,200,OK,User Thread Group 1-3067,text,false,,462,358,2533,2533,http://localhost:9090/transaction/getStockTransactions,1671,0,0
1741313216700,1044,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2386,text,false,,462,353,2533,2533,http://localhost:9090/transaction/getStockTransactions,1043,0,0
1741313216580,1152,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1292,text,false,,462,357,2542,2542,http://localhost:9090/transaction/getStockTransactions,1152,0,0
1741313216770,951,20 Get Stock Transactions Request,200,OK,User Thread Group 1-3076,text,false,,462,360,2546,2546,http://localhost:9090/transaction/getStockTransactions,951,0,0
1741313216594,1148,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2207,text,false,,462,357,2533,2533,http://localhost:9090/transaction/getStockTransactions,1148,0,0
1741313216565,1175,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2398,text,false,,462,358,2534,2534,http://localhost:9090/transaction/getStockTransactions,1175,0,0
1741313215236,2501,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2037,text,false,,462,353,2542,2542,http://localhost:9090/transaction/getStockTransactions,2501,0,0
1741313216765,972,20 Get Stock Transactions Request,200,OK,User Thread Group 1-3083,text,false,,462,356,2542,2542,http://localhost:9090/transaction/getStockTransactions,972,0,0
1741313215346,2391,20 Get Stock Transactions Request,200,OK,User Thread Group 1-935,text,false,,462,356,2542,2542,http://localhost:9090/transaction/getStockTransactions,2391,0,0
1741313216568,1167,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1727,text,false,,462,358,2542,2542,http://localhost:9090/transaction/getStockTransactions,1167,0,0
1741313215742,1990,20 Get Stock Transactions Request,200,OK,User Thread Group 1-3127,text,false,,462,354,2542,2542,http://localhost:9090/transaction/getStockTransactions,1990,0,0
1741313215704,2029,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1369,text,false,,462,356,2542,2542,http://localhost:9090/transaction/getStockTransactions,2029,0,0
1741313216377,1356,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1282,text,false,,462,353,2542,2542,http://localhost:9090/transaction/getStockTransactions,1356,0,0
1741313215659,2073,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1502,text,false,,462,360,2542,2542,http://localhost:9090/transaction/getStockTransactions,2073,0,0
1741313216371,1360,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1871,text,false,,462,357,2542,2542,http://localhost:9090/transaction/getStockTransactions,1360,0,0
1741313215365,2366,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2013,text,false,,462,360,2542,2542,http://localhost:9090/transaction/getStockTransactions,2366,0,0
1741313215694,2037,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1507,text,false,,462,354,2542,2542,http://localhost:9090/transaction/getStockTransactions,2037,0,0
1741313216126,1605,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2574,text,false,,462,358,2542,2542,http://localhost:9090/transaction/getStockTransactions,1605,0,0
1741313215708,2022,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1518,text,false,,462,354,2542,2542,http://localhost:9090/transaction/getStockTransactions,2022,0,0
1741313216896,834,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2514,text,false,,462,360,2542,2542,http://localhost:9090/transaction/getStockTransactions,834,0,0
1741313216582,1147,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1426,text,false,,462,357,2542,2542,http://localhost:9090/transaction/getStockTransactions,1147,0,0
1741313215342,2388,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2378,text,false,,462,356,2542,2542,http://localhost:9090/transaction/getStockTransactions,2388,0,0
1741313215146,2584,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1430,text,false,,462,356,2542,2542,http://localhost:9090/transaction/getStockTransactions,2584,0,0
1741313216189,1540,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1995,text,false,,462,360,2542,2542,http://localhost:9090/transaction/getStockTransactions,1540,0,0
1741313216073,1656,20 Get Stock Transactions Request,200,OK,User Thread Group 1-3148,text,false,,462,358,2542,2542,http://localhost:9090/transaction/getStockTransactions,1656,0,0
1741313214858,2871,20 Get Stock Transactions Request,200,OK,User Thread Group 1-525,text,false,,462,356,2542,2542,http://localhost:9090/transaction/getStockTransactions,2871,0,0
1741313216056,1665,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2440,text,false,,462,354,2546,2546,http://localhost:9090/transaction/getStockTransactions,1665,0,0
1741313215765,1963,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2483,text,false,,462,354,2542,2542,http://localhost:9090/transaction/getStockTransactions,1963,0,0
1741313216074,1654,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1290,text,false,,462,353,2542,2542,http://localhost:9090/transaction/getStockTransactions,1654,0,0
1741313214963,2758,20 Get Stock Transactions Request,200,OK,User Thread Group 1-968,text,false,,462,357,2546,2546,http://localhost:9090/transaction/getStockTransactions,2758,0,0
1741313217878,285,20 Get Stock Transactions Request,200,OK,User Thread Group 1-3069,text,false,,462,356,2408,2408,http://localhost:9090/transaction/getStockTransactions,284,0,0
1741313217931,231,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1310,text,false,,462,357,2408,2408,http://localhost:9090/transaction/getStockTransactions,231,0,0
1741313217886,277,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2666,text,false,,462,357,2408,2408,http://localhost:9090/transaction/getStockTransactions,277,0,0
1741313217865,298,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2764,text,false,,462,356,2408,2408,http://localhost:9090/transaction/getStockTransactions,298,0,0
1741313217892,272,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2847,text,false,,462,358,2408,2408,http://localhost:9090/transaction/getStockTransactions,272,0,0
1741313217884,280,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1370,text,false,,462,354,2405,2405,http://localhost:9090/transaction/getStockTransactions,280,0,0
1741313217873,292,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1580,text,false,,462,358,2405,2405,http://localhost:9090/transaction/getStockTransactions,292,0,0
1741313215336,2384,20 Get Stock Transactions Request,200,OK,User Thread Group 1-997,text,false,,462,354,2546,2546,http://localhost:9090/transaction/getStockTransactions,2384,0,0
1741313216586,1133,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2020,text,false,,462,358,2545,2545,http://localhost:9090/transaction/getStockTransactions,1133,0,0
1741313217924,241,20 Get Stock Transactions Request,200,OK,User Thread Group 1-3058,text,false,,462,354,2405,2405,http://localhost:9090/transaction/getStockTransactions,241,0,0
1741313217909,256,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1574,text,false,,462,360,2405,2405,http://localhost:9090/transaction/getStockTransactions,256,0,0
1741313217927,240,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2881,text,false,,462,356,2399,2399,http://localhost:9090/transaction/getStockTransactions,240,0,0
1741313217924,238,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2241,text,false,,462,354,2408,2408,http://localhost:9090/transaction/getStockTransactions,238,0,0
1741313217938,234,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2980,text,false,,462,357,2396,2396,http://localhost:9090/transaction/getStockTransactions,234,0,0
1741313217931,242,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2686,text,false,,462,354,2395,2395,http://localhost:9090/transaction/getStockTransactions,242,0,0
1741313215739,2259,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1461,text,false,,462,354,2591,2591,http://localhost:9090/transaction/getStockTransactions,2259,0,0
1741313217761,238,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1252,text,false,,462,354,2591,2591,http://localhost:9090/transaction/getStockTransactions,238,0,0
1741313217933,240,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2636,text,false,,462,361,2394,2394,http://localhost:9090/transaction/getStockTransactions,240,0,0
1741313217937,236,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1906,text,false,,462,361,2394,2394,http://localhost:9090/transaction/getStockTransactions,236,0,0
1741313217962,213,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2569,text,false,,462,361,2393,2393,http://localhost:9090/transaction/getStockTransactions,213,0,0
1741313217938,237,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2826,text,false,,462,361,2391,2391,http://localhost:9090/transaction/getStockTransactions,237,0,0
1741313215712,2286,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2654,text,false,,462,357,2591,2591,http://localhost:9090/transaction/getStockTransactions,2286,0,0
1741313217980,196,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1201,text,false,,462,357,2388,2388,http://localhost:9090/transaction/getStockTransactions,196,0,0
1741313217959,217,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1202,text,false,,462,360,2388,2388,http://localhost:9090/transaction/getStockTransactions,217,0,0
1741313217944,233,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2732,text,false,,462,358,2388,2388,http://localhost:9090/transaction/getStockTransactions,233,0,0
1741313217744,255,20 Get Stock Transactions Request,200,OK,User Thread Group 1-993,text,false,,462,358,2591,2591,http://localhost:9090/transaction/getStockTransactions,255,0,0
1741313215712,2138,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2026,text,false,,462,356,2509,2509,http://localhost:9090/transaction/getStockTransactions,2138,0,0
1741313214963,3030,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2475,text,false,,462,356,2589,2589,http://localhost:9090/transaction/getStockTransactions,3030,0,0
1741313216341,1584,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2229,text,false,,462,358,2549,2549,http://localhost:9090/transaction/getStockTransactions,1584,0,0
1741313216576,1349,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1398,text,false,,462,361,2549,2549,http://localhost:9090/transaction/getStockTransactions,1349,0,0
1741313216583,1342,20 Get Stock Transactions Request,200,OK,User Thread Group 1-3047,text,false,,462,358,2549,2549,http://localhost:9090/transaction/getStockTransactions,1342,0,0
1741313217940,240,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2377,text,false,,462,357,2378,2378,http://localhost:9090/transaction/getStockTransactions,240,0,0
1741313215256,2758,20 Get Stock Transactions Request,200,OK,User Thread Group 1-2286,text,false,,462,358,2590,2590,http://localhost:9090/transaction/getStockTransactions,2758,0,0
1741313217977,205,20 Get Stock Transactions Request,200,OK,User Thread Group 1-1323,text,false,,462,356,2375,2375,http://localhost:9090/transaction/getStockTransactions,205,0,0
